ID,X,Y,Population,Elevation,Slope,Land_cover,River_flow,NAME,Road_dist
1,190568.5296,8431930.373,0,955.7369995,21.56921552,5,,,2935.115524
2,190534.1892,8432916.05,0,697.5050049,37.38127442,5,,,3409.710675
3,190499.8561,8433901.723,0,613.4660034,19.47226974,5,,,3732.351785
4,190465.5303,8434887.391,0,706.9730225,26.46935664,5,,,3226.290907
5,190431.2117,8435873.055,0,528.6019897,8.708991657,5,,,2706.542976
6,190396.9003,8436858.714,0,521.7620239,2.57545067,5,,,2171.693644
7,190362.5963,8437844.368,0,509.5180054,4.0637691,5,,,1640.002476
8,190328.2995,8438830.017,0,504.2770081,2.087962642,5,,,1099.522596
9,190294.0099,8439815.662,0,505.7210083,2.330790552,1,,,573.6097103
10,190259.7276,8440801.302,0,520.440979,8.904613324,1,,,42.27220344
11,190225.4526,8441786.937,0,481.1820068,2.186046078,5,,,761.9198469
12,190191.1848,8442772.568,0,490.5169983,3.36677316,5,,,1745.086232
13,190156.9243,8443758.195,0,467.5109863,3.721627216,5,,,2153.140004
14,190122.671,8444743.817,0,493.1400146,3.436349908,5,,,1817.658315
15,190088.4251,8445729.434,4,501.243988,2.719585058,1,,,1812.289415
16,190054.1864,8446715.047,0,492.6040039,1.398046613,1,,,2142.500143
17,191583.4594,8431964.43,0,827.7659912,22.86781661,5,,,3900.740401
18,191549.1251,8432950.1,0,931.6469727,33.8538514,5,,,4172.296163
19,191514.7979,8433935.765,0,997.6530151,15.3291543,5,,,3982.135088
20,191480.478,8434921.426,0,756.8870239,21.68863881,5,,,4031.023296
21,191446.1653,8435907.082,0,693.9379883,26.36444947,5,,,3558.188268
22,191411.8599,8436892.733,0,542.8800049,7.566500731,5,,,3027.491419
23,191377.5617,8437878.379,0,514.7750244,1.503787938,5,,,2494.567028
24,191343.2707,8438864.021,0,547.0780029,8.381910968,5,,,1961.17493
25,191308.9869,8439849.658,0,533.7869873,2.639422598,5,,,1424.733178
26,191274.7104,8440835.291,0,502.6260071,2.514884935,1,,,950.5061801
27,191240.4411,8441820.919,0,499.1839905,3.90523977,1,,,1203.784952
28,191206.1791,8442806.543,0,501.1180115,4.862801228,1,,,1977.708964
29,191171.9243,8443792.161,0,485.0769958,5.014807669,5,,,1404.900608
30,191137.6767,8444777.776,0,480.2200012,3.488824829,5,,,817.1473075
31,191103.4364,8445763.386,0,488.1789856,4.038196182,1,,,813.5488344
32,191069.2034,8446748.991,0,480.1830139,6.130520082,1,,,1281.05882
33,192598.3818,8431998.478,0,709.697998,23.89532095,5,,,3718.031915
34,192564.0534,8432984.141,0,954.3660278,16.89388452,1,,,3222.055969
35,192529.7322,8433969.799,0,1042.430054,6.891464775,1,,,2971.259277
36,192495.4182,8434955.452,0,1060.140015,29.19142224,1,,,3036.03724
37,192461.1114,8435941.101,0,745.5830078,19.4248675,1,,,3398.387132
38,192426.8119,8436926.744,0,712.539978,9.546818031,5,,,3882.059357
39,192392.5195,8437912.383,0,561.7089844,10.63586492,5,,,3347.585276
40,192358.2343,8438898.018,0,685.2420044,31.3767966,5,,,2815.536388
41,192323.9564,8439883.647,0,525.0900269,4.438286171,5,,,2270.040883
42,192289.6856,8440869.272,0,526.8619995,2.49907085,5,,,1955.051798
43,192255.4221,8441854.893,0,537.7390137,7.416231993,1,,,2090.843631
44,192221.1659,8442840.509,0,504.92099,5.486122897,1,,,1774.285579
45,192186.9167,8443826.12,0,474.9899902,3.073644023,5,,,974.7758478
46,192152.6749,8444811.727,0,490.1700134,3.075554788,5,,,115.2512698
47,192118.4402,8445797.33,0,493.4419861,1.044402805,1,,,35.5187695
