ID,X,Y,Population,Elevation,Slope,Land_cover,River_flow,Road_dist
1,227911.3832,8097539.303,,135,3.511339781,2,,652.4531837
2,228911.6857,8097539.303,6.149041553,126.8783233,2.056739836,2,,1493.232239
3,227911.3832,8098539.605,15.54762991,148.6935353,3.01991341,2,,355.6404242
4,228911.6857,8098539.605,,146.7417036,2.595846247,2,,1151.166547
5,227911.3832,8099539.908,26.89732271,132.6198058,2.26719302,2,,209.8389898
6,228911.6857,8099539.908,13.22797819,169.9196179,2.66977269,2,,223.9408569
7,229911.9882,8099539.908,9.587914371,161.4288642,1.599135415,2,,157.7039214
8,233913.1983,8099539.908,,158.222965,1.288836265,2,,600.4148737
9,234913.5009,8099539.908,,162.0551961,1.707148429,2,,824.895427
10,235913.8034,8099539.908,,177.659661,2.804075199,2,,1248.165338
11,236914.1059,8099539.908,,180.5239461,1.462713272,2,,977.0889465
12,237914.4085,8099539.908,,147.3474553,0.86681977,2,0.063303992,92.32249214
13,238914.711,8099539.908,9.533851712,148.6343041,2.496959239,2,,157.2360614
14,226911.0806,8100540.211,33.10194281,129.3227277,3.578880405,2,,204.5585113
15,227911.3832,8100540.211,16.43916858,128.7047987,2.179549775,2,,515.5445579
16,228911.6857,8100540.211,8.915581504,141.5074741,2.688447621,2,,388.6402877
17,229911.9882,8100540.211,7.857219939,160.6707481,4.190270187,2,,388.6370576
18,230912.2908,8100540.211,5.6197653,191.2095402,1.283267303,2,,809.5616194
19,231912.5933,8100540.211,,198.1977593,0.893625738,2,,595.9075852
20,232912.8958,8100540.211,,169.3415606,2.981159754,2,,487.3261832
21,233913.1983,8100540.211,31.35085748,177.2880804,3.305640137,2,,339.5247542
22,234913.5009,8100540.211,,191.1403418,0.910980018,2,,97.14726973
23,235913.8034,8100540.211,,176.8907589,2.786817994,2,,379.0641929
24,236914.1059,8100540.211,,163.8427395,2.051099672,2,,424.622948
25,237914.4085,8100540.211,,167.4684544,1.440608146,2,,318.5142441
26,238914.711,8100540.211,,139.7720678,2.461433987,2,,727.5941605
27,239915.0135,8100540.211,,121.5219776,0.852632593,,,807.4475592
28,226911.0806,8101540.513,55.31888398,144.2229625,0.878687649,2,,44.57554284
29,227911.3832,8101540.513,16.25217035,130.4865638,0.90504756,2,,541.0207669
30,228911.6857,8101540.513,5.23447987,162.438769,0.72861559,2,,1379.289833
31,229911.9882,8101540.513,5.11161436,166.3881773,1.712474495,2,,1380.025209
32,230912.2908,8101540.513,4.612165941,173.7709058,2.749302331,2,,1702.479556
33,231912.5933,8101540.513,,193.5493391,0.84714765,1,,1596.119433
34,232912.8958,8101540.513,,184.0957962,1.054947497,2,,1426.240789
35,233913.1983,8101540.513,,187.4786288,2.013513736,2,,1071.103018
36,234913.5009,8101540.513,,174.2263497,3.969722477,2,,588.6440749
37,235913.8034,8101540.513,,173.892615,2.215398319,2,,199.8535016
38,236914.1059,8101540.513,,175.4829758,2.071961586,2,,75.84382656
39,237914.4085,8101540.513,15.30940457,151.828444,2.639605141,2,,290.2856807
40,238914.711,8101540.513,,132.5630576,2.935778664,2,,932.0830168
41,239915.0135,8101540.513,,112.8728373,1.492611539,2,2.005916834,951.6354955
42,225910.7781,8102540.816,,136.5817038,1.198161176,2,,134.6265763
43,226911.0806,8102540.816,,156.9201438,1.237254757,1,,667.2671783
44,227911.3832,8102540.816,9.916896251,155.4165139,1.332206477,1,,302.6369056
45,228911.6857,8102540.816,,151.4202043,0.753086631,1,,1294.276106
46,229911.9882,8102540.816,4.54530583,176.5323758,2.542368072,1,,2292.593328
47,230912.2908,8102540.816,,179.7499146,0.91299194,1,,2616.847164
48,231912.5933,8102540.816,,189.058681,1.06623226,2,,2292.58567
49,232912.8958,8102540.816,,183.3654475,1.349945581,2,,1340.634637
50,233913.1983,8102540.816,,173.1049466,1.564050335,2,,401.0859235
51,234913.5009,8102540.816,,179.8143685,1.01942418,2,,194.5990805
52,235913.8034,8102540.816,,158.5949545,2.42454693,2,,790.5228386
53,236914.1059,8102540.816,,160.4265059,2.060919508,2,,884.8091485
54,237914.4085,8102540.816,,166.8462438,0.682572058,2,,471.8250262
55,238914.711,8102540.816,,145.7820169,2.785708057,2,,47.0759114
56,239915.0135,8102540.816,33.50892646,130.4126463,1.98681778,2,,2.663165371
57,240915.316,8102540.816,17.65626737,133.7004112,2.416206063,2,,210.028094
58,225910.7781,8103541.118,,144.7345985,0.71248946,1,,1064.920162
59,226911.0806,8103541.118,14.27888292,162.1009562,2.825261426,1,,678.1717766
60,227911.3832,8103541.118,7.819587782,172.1564224,3.139196155,1,,673.5314898
61,228911.6857,8103541.118,5.589270246,157.2030485,2.020898398,2,0.079075068,1534.017538
62,229911.9882,8103541.118,4.711433513,173.7291309,3.826215772,2,,2453.43846
63,230912.2908,8103541.118,4.500949901,192.918464,0.574904794,1,,3228.10116
64,231912.5933,8103541.118,,190.9373083,0.646261017,1,,2237.627114
65,232912.8958,8103541.118,,182.5758715,0.70074651,2,,1262.744391
66,233913.1983,8103541.118,,180.0781578,0.847281586,2,,428.1144552
67,234913.5009,8103541.118,,168.5754498,2.12885211,2,,874.9103116
68,235913.8034,8103541.118,,145.440483,0.814557594,2,,1563.561225
69,236914.1059,8103541.118,,149.4316149,1.19825203,2,,1809.616057
70,237914.4085,8103541.118,,157.9998101,2.633718388,1,,1229.164862
71,238914.711,8103541.118,,125.2012034,1.527096613,1,,952.6393272
72,239915.0135,8103541.118,17.86939155,126.1259034,2.148654695,2,,954.6583719
73,240915.316,8103541.118,,131.6181137,1.004009045,2,,921.5298441
74,241915.6186,8103541.118,,171.3819644,2.987376734,2,,1490.555261
75,224910.4756,8104541.421,40.57031641,143.4626129,2.299047087,2,,442.8252307
76,225910.7781,8104541.421,,166.7449894,2.575153758,2,,1080.142014
77,226911.0806,8104541.421,,180.5018767,2.690940644,1,,1539.449877
78,227911.3832,8104541.421,7.184612844,191.7267297,3.71170602,1,,1537.411342
79,228911.6857,8104541.421,6.839039562,166.5886911,2.773795279,2,,2087.719243
80,229911.9882,8104541.421,,179.1040151,3.056051497,2,,2890.453241
81,230912.2908,8104541.421,,199.8805427,1.015048669,2,,3488.964524
82,231912.5933,8104541.421,,192.2260005,0.963763362,2,,2599.848351
83,232912.8958,8104541.421,,174.7664524,0.624446367,2,,1829.415137
84,233913.1983,8104541.421,,178.2298498,1.722998667,2,,1391.229072
85,234913.5009,8104541.421,,145.8735177,0.925135426,2,,1589.178157
86,235913.8034,8104541.421,7.860468922,134.4825119,4.174680633,2,,2262.00495
87,236914.1059,8104541.421,,136.174496,1.550676329,2,,2620.68344
88,237914.4085,8104541.421,,129.3089105,0.795070111,1,,2115.801358
89,238914.711,8104541.421,,127.4074602,1.096100892,2,,1952.149046
90,239915.0135,8104541.421,,125.2081436,0.996959252,2,,1951.422224
91,240915.316,8104541.421,,171.5522919,2.109224774,1,,1911.944822
92,241915.6186,8104541.421,,160.4536955,2.255063013,1,,2242.335999
93,242915.9211,8104541.421,,138.9559501,0.50260972,1,,2898.589098
94,224910.4756,8105541.723,30.1742142,155.2406616,2.411854866,2,,209.0513472
95,225910.7781,8105541.723,23.30083604,157.5329144,3.076583587,2,,754.0153937
96,226911.0806,8105541.723,,183.7014979,2.831405296,1,,1666.220622
97,227911.3832,8105541.723,,202.6665995,1.354736575,1,,2504.961655
98,228911.6857,8105541.723,5.895938629,179.3044875,2.716191732,1,,2875.720935
99,229911.9882,8105541.723,4.728086189,193.4301556,1.109310056,2,,3502.273432
100,230912.2908,8105541.723,,204.5079086,1.042522879,1,,2965.649811
101,231912.5933,8105541.723,,173.0248272,1.553981964,1,,2278.935987
102,232912.8958,8105541.723,6.046942687,162.5418693,2.883586422,1,,1669.231186
103,233913.1983,8105541.723,,151.3649029,3.115369023,2,,1501.131229
104,234913.5009,8105541.723,8.078564307,132.7645334,1.749122453,2,1.182467341,1641.852761
105,235913.8034,8105541.723,6.990559529,165.417514,1.651379942,2,,1812.629081
106,236914.1059,8105541.723,6.580530883,150.3866919,2.335454033,2,,2347.647934
107,237914.4085,8105541.723,,152.2934529,2.389112682,2,,2996.381822
108,238914.711,8105541.723,,147.1182936,2.527477362,1,,2951.522843
109,239915.0135,8105541.723,,140.3154378,2.880774675,1,,2948.704713
110,240915.316,8105541.723,,141.2163617,0.791073453,1,0.186735481,2909.133727
111,241915.6186,8105541.723,,166.2364028,1.896512547,1,,3136.175501
112,242915.9211,8105541.723,,157.1942197,0.733017741,2,,3634.466233
113,224910.4756,8106542.026,22.66759767,150.9845926,2.777014876,2,,484.9446664
114,225910.7781,8106542.026,33.00814376,159.8303253,2.574254778,2,,462.2797414
115,226911.0806,8106542.026,23.34233581,177.1159715,2.349756524,1,,1231.186506
116,227911.3832,8106542.026,11.6648031,213.7957764,2.106204845,1,,2112.488725
117,228911.6857,8106542.026,,194.1062437,2.361257138,2,,3067.001237
118,229911.9882,8106542.026,,198.2041722,1.199038679,1,,2979.01999
119,230912.2908,8106542.026,,189.1378741,2.025016091,2,,2249.324145
120,231912.5933,8106542.026,,168.6202399,2.398109208,2,,1555.774656
121,232912.8958,8106542.026,9.344111928,186.6240862,0.987163103,2,,868.1420649
122,233913.1983,8106542.026,17.6934853,156.7534666,2.740264969,2,,536.1590306
123,234913.5009,8106542.026,13.9551376,152.4397977,3.05404873,2,,643.3132003
124,235913.8034,8106542.026,,171.3102357,1.474757632,2,,935.2998934
125,236914.1059,8106542.026,10.91304684,179.1829122,1.654605643,2,,1581.793101
126,237914.4085,8106542.026,,170.8289516,1.225630825,2,,2313.852711
127,238914.711,8106542.026,,148.264914,2.85091794,2,,2206.543623
128,239915.0135,8106542.026,,156.9036534,3.328621846,2,,2494.373089
129,240915.316,8106542.026,,141.383924,1.333019055,1,,3031.127172
130,241915.6186,8106542.026,,152.1957862,1.020420283,1,,3724.956539
131,223910.1731,8107542.328,8.136464269,149.3051177,1.730815765,2,,1771.079319
132,224910.4756,8107542.328,10.48362585,169.8020136,3.274740873,2,,902.4002789
133,225910.7781,8107542.328,16.74166003,192.2108631,1.979711273,2,,45.3014512
134,226911.0806,8107542.328,,180.841633,2.481710324,2,,954.9947971
135,227911.3832,8107542.328,,205.6295967,0.769189408,1,,1955.291045
136,228911.6857,8107542.328,,205.1580026,1.635572567,2,,2712.887683
137,229911.9882,8107542.328,6.011454528,188.1493349,1.943334666,2,,2102.297977
138,230912.2908,8107542.328,,179.8123953,2.391764972,2,,1588.024699
139,231912.5933,8107542.328,,166.6045703,1.833161493,2,,839.4408343
140,232912.8958,8107542.328,11.8305233,147.7608618,1.472656926,2,,174.5742547
141,233913.1983,8107542.328,33.77238188,146.8068528,3.371966298,2,,253.0972502
142,234913.5009,8107542.328,31.68741322,166.134456,1.951189574,2,,346.0483933
143,235913.8034,8107542.328,25.00323679,185.7523401,1.740901187,2,,168.0934171
144,236914.1059,8107542.328,11.01686107,188.1702333,8.807438862,2,,1136.547839
145,237914.4085,8107542.328,7.59616074,160.3961904,2.47892858,1,,1389.904489
146,238914.711,8107542.328,11.3586249,144.2910813,2.534109553,2,0.296308696,1212.951814
147,239915.0135,8107542.328,,162.147934,3.119781601,2,,1634.263079
148,240915.316,8107542.328,,149.017862,0.920348139,2,,2317.54558
149,241915.6186,8107542.328,,167.4231459,2.058898707,1,,3128.731459
150,223910.1731,8108542.631,15.63885373,136.8559855,2.013868764,2,,1248.634953
151,224910.4756,8108542.631,,173.0987343,2.589582349,2,,1109.650013
152,225910.7781,8108542.631,,202.634044,2.231713113,2,,154.7534555
153,226911.0806,8108542.631,,199.2254341,1.810212049,2,,734.0453591
154,227911.3832,8108542.631,,195.1742034,2.248168909,2,,1649.426531
155,228911.6857,8108542.631,,201.7380729,2.342940387,1,,2010.606975
156,229911.9882,8108542.631,,178.9630922,2.087798301,2,,1300.267534
157,230912.2908,8108542.631,11.66624858,169.9819645,1.989537915,2,,757.9245719
158,231912.5933,8108542.631,20.81011389,156.8101587,1.373037938,2,,222.7814085
159,232912.8958,8108542.631,10.80995393,152.1197471,1.726578048,2,,575.1070994
160,233913.1983,8108542.631,12.17379365,156.5554089,1.276526359,2,,1103.789021
161,234913.5009,8108542.631,15.32030512,181.4619516,2.798345227,2,,233.7701801
162,235913.8034,8108542.631,13.78120635,189.4501607,2.7010009,2,,463.6817658
163,236914.1059,8108542.631,,187.3845217,2.532027286,2,,1239.945975
164,237914.4085,8108542.631,,157.9828148,1.471330394,2,,479.120847
165,238914.711,8108542.631,28.21627571,151.751039,1.951330994,2,,261.1665284
166,239915.0135,8108542.631,13.12061235,157.8494404,1.083934687,2,,914.3017549
167,240915.316,8108542.631,,158.9155228,1.436574459,2,,1772.116129
168,222909.8705,8109542.933,18.15136264,167.9163782,3.061128488,2,,1610.327893
169,223910.1731,8109542.933,,164.4341361,1.012583238,2,,666.4400055
170,224910.4756,8109542.933,41.70632784,171.6092752,2.905675737,2,,341.1395397
171,225910.7781,8109542.933,53.16215919,203.3854264,1.609637219,2,,101.5988715
172,226911.0806,8109542.933,23.36723533,205.6302928,1.93196904,2,,307.8134375
173,227911.3832,8109542.933,,212.6270709,0.858208022,2,,1148.464637
174,228911.6857,8109542.933,,194.7826434,2.455716554,2,,1011.474592
175,229911.9882,8109542.933,,174.6758577,1.477629762,2,,706.9018519
176,230912.2908,8109542.933,30.38875549,169.363831,2.889575964,2,,109.6995176
177,231912.5933,8109542.933,16.6965241,161.8528977,0.940540318,2,,537.8641096
178,232912.8958,8109542.933,13.00082536,170.2973176,2.33515198,2,,1175.970062
179,233913.1983,8109542.933,,182.0752251,2.571470503,2,,1293.788387
180,234913.5009,8109542.933,10.34372111,184.9433018,3.382452486,1,,715.0178069
181,235913.8034,8109542.933,,205.1900139,2.501797769,2,,977.1743147
182,236914.1059,8109542.933,,183.4507295,2.487608242,1,,1453.337178
183,237914.4085,8109542.933,,165.7270164,1.222850172,2,,700.4598679
184,238914.711,8109542.933,22.93791844,167.6036005,1.248305636,2,,382.5363238
185,239915.0135,8109542.933,13.4536733,161.1679616,0.952273923,2,0.067462295,472.9593429
186,222909.8705,8110543.236,,163.4144235,0.8389819,2,,1160.93984
187,223910.1731,8110543.236,62.23753154,185.1282831,1.050816986,2,,196.8199471
188,224910.4756,8110543.236,74.21241022,173.0227697,0.814309813,2,,205.0998782
189,225910.7781,8110543.236,,197.2717866,1.956381696,2,,731.2936563
190,226911.0806,8110543.236,16.14252559,223.0564345,0.990092455,2,,42.44058806
191,227911.3832,8110543.236,20.40675747,200.3189037,0.65060026,2,,265.3802284
192,228911.6857,8110543.236,49.95986734,196.2166296,1.622045458,2,,15.93072139
193,229911.9882,8110543.236,106.6020723,188.1614621,2.317804001,2,,67.25640084
194,230912.2908,8110543.236,72.05406243,164.4521565,4.369897019,2,,82.88060684
195,231912.5933,8110543.236,24.69233046,179.959686,3.093640654,2,,614.1745978
196,232912.8958,8110543.236,,190.5675625,1.974776689,2,,988.9350513
197,233913.1983,8110543.236,,187.4923993,2.341493462,2,,1278.496955
198,234913.5009,8110543.236,,214.5351495,0.563216826,2,,1338.669223
199,235913.8034,8110543.236,,185.9634491,1.434265019,1,,1388.870329
200,236914.1059,8110543.236,,170.6837623,1.752160269,1,,1196.976084
201,237914.4085,8110543.236,15.25942141,163.1972938,1.061004944,2,0.240615696,1253.162136
202,238914.711,8110543.236,25.36882833,178.1624075,2.855495091,2,,404.4953062
203,222909.8705,8111543.538,35.24094052,175.2596174,0.810591125,2,,798.8575299
204,223910.1731,8111543.538,78.15797808,187.6900372,1.039103845,2,,82.35758142
205,224910.4756,8111543.538,59.57900043,186.4737814,2.873278954,2,,76.82060363
206,225910.7781,8111543.538,20.28553099,189.087319,0.878311663,2,,282.4937629
207,226911.0806,8111543.538,9.514352244,220.5802169,0.747881617,2,,159.4893912
208,227911.3832,8111543.538,13.40039669,217.214552,0.393548721,2,,585.7982616
209,228911.6857,8111543.538,,214.6361741,1.007161699,2,,657.3702306
210,229911.9882,8111543.538,43.14930155,178.6706199,2.207652534,2,,245.3351343
211,230912.2908,8111543.538,38.80644249,168.077253,4.190257379,2,,442.6179768
212,231912.5933,8111543.538,34.27743587,193.3874104,2.270925765,2,,206.3505746
