ID,X,Y,Type,Exist,PowerAvailable
1,239576.4781,8460976.627,MV,no,1000
2,232357.4645,8494796.754,MV,no,1000
3,237829.7929,8476175.443,MV,no,1000
4,247389.566,8465372.93,MV,no,1000
5,233923.3758,8485584.211,MV,no,1000
6,233217.8039,8468751.626,MV,no,1000
7,182040.589,8457250.572,MV,no,1000
8,176360.5904,8471907.838,MV,no,1000
9,175082.7108,8485619.631,MV,no,1000
10,172459.8229,8497361.051,MV,no,1000
11,172015.9046,8509245.522,MV,no,1000
12,204325.2923,8466795.485,LV,no,300
13,171602.2328,8515736.539,LV,no,300
14,251321.4627,8506471.848,LV,no,300
15,187823.6617,8449483.869,LV,no,300
16,166905.3004,8513668.983,HV,yes,100000
17,188550.7168,8514889.426,HV,yes,100000
18,221015.4636,8516686.522,HV,yes,100000
