ID,Y,X,Type,Exist,PowerAvailable
0,8122984.964,216870.1876,MV,yes,250
1,8126477.725,220447.9834,MV,yes,330
2,8129970.485,224025.7792,HV,no,100000
3,8133463.246,227603.575,HV,no,100000
4,8136956.007,231181.3708,HV,no,100000
5,8140448.767,234759.1666,HV,no,10000
6,8143941.528,238336.9623,MV,yes,1500
7,8147434.289,241914.7581,MV,yes,1000
8,8150927.049,245492.5539,MV,yes,120
9,8154419.81,249070.3497,MV,yes,555
10,8158674.002,250841.928,HV,no,100000
11,8165065.713,245022.2972,HV,no,100000
12,8166240.679,240162.3119,MV,yes,450
13,8170940.54,220722.3709,MV,yes,400
14,8172903.159,216215.7923,HV,no,100000
