Cluster,Grid NPC [k€],MG NPC [k€],Grid Energy Consumption [MWh],MG LCOE [€/kWh],Grid LCOE [€/kWh],Best Solution
0,759.795,192.5504,5467.3523,0.2069,0.189,ON-GRID
1,1377.77,277.786,7997.0228,0.204,0.2223,OFF-GRID
2,897.5929,178.5687,4977.7387,0.2107,0.2303,OFF-GRID
3,3900.6834,604.8703,17870.898,0.199,0.2683,OFF-GRID
4,810.3303,360.2228,10363.4888,0.2042,0.1282,ON-GRID
5,1443.7032,159.8668,4243.3182,0.2212,0.3902,OFF-GRID
6,1458.8699,680.8791,20155.7616,0.1986,0.1224,ON-GRID
7,8161.5859,1853.8719,55815.9554,0.1953,0.1962,BOTH
8,19714.5047,646.7891,19176.5344,0.1983,1.0781,OFF-GRID
11,781.0464,631.9442,18768.523,0.1979,0.0916,ON-GRID
12,1351.863,12992.6577,395036.608,0.1935,0.0534,ON-GRID
